scenario,controller,ablation,metric,environment_units,excluded_environment_units,exclusions,mean_change,paired_ci95_low,paired_ci95_high,status
C_occlusion,feedforward-101,chemical_off,motor_energy_demand,30,0,[],2.7742607983449972e-05,2.847399522860894e-06,5.871156007796497e-05,completed
C_occlusion,feedforward-101,chemical_off,escape_drive_integral,30,0,[],0.0002447101945678376,2.6083538929620268e-05,0.0005022183607021909,completed
C_occlusion,feedforward-202,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-202,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-202,chemical_off,motor_energy_demand,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-202,chemical_off,escape_drive_integral,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-303,chemical_off,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-303,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-303,chemical_off,motor_energy_demand,30,0,[],0.0,0.0,0.0,completed
C_occlusion,feedforward-303,chemical_off,escape_drive_integral,30,0,[],0.0,0.0,0.0,completed
C_occlusion,hybrid-101,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,hybrid-101,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_occlusion,hybrid-101,memory_reset,motor_energy_demand,30,0,[],-0.027481231993491444,-0.02825481472231484,-0.026683209387664122,completed
C_occlusion,hybrid-101,memory_reset,escape_drive_integral,30,0,[],-1.7009509152074656,-1.7472117678858337,-1.6539310118856527,completed
C_occlusion,hybrid-202,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,hybrid-202,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_occlusion,hybrid-202,memory_reset,motor_energy_demand,30,0,[],-0.031647037507807216,-0.032181783888502305,-0.031124297465785225,completed
C_occlusion,hybrid-202,memory_reset,escape_drive_integral,30,0,[],-1.7388260830541453,-1.7714059010555345,-1.7092601052788396,completed
C_occlusion,hybrid-303,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,hybrid-303,memory_reset,collision_substeps,30,0,[],-1.9333333333333333,-3.8675,-0.4,completed
C_occlusion,hybrid-303,memory_reset,motor_energy_demand,30,0,[],-0.034604758186643325,-0.0350436846403985,-0.03415415474756584,completed
C_occlusion,hybrid-303,memory_reset,escape_drive_integral,30,0,[],-2.117329336961111,-2.143228371953964,-2.0922080771461133,completed
C_occlusion,recurrent-101,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,recurrent-101,memory_reset,collision_substeps,30,0,[],2.9,0.9,5.066666666666666,completed
C_occlusion,recurrent-101,memory_reset,motor_energy_demand,30,0,[],-0.019736959852134188,-0.019798833716246605,-0.019668169258299593,completed
C_occlusion,recurrent-101,memory_reset,escape_drive_integral,30,0,[],-1.4772489791115124,-1.4832287759224574,-1.4710731687826417,completed
C_occlusion,recurrent-202,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,recurrent-202,memory_reset,collision_substeps,30,0,[],13.166666666666666,7.166666666666667,19.833333333333332,completed
C_occlusion,recurrent-202,memory_reset,motor_energy_demand,30,0,[],-0.0069353074805140495,-0.006986504940882573,-0.00688714770851781,completed
C_occlusion,recurrent-202,memory_reset,escape_drive_integral,30,0,[],-0.13870053023099904,-0.13929544656785828,-0.1381124837178737,completed
C_occlusion,recurrent-303,memory_reset,food,30,0,[],0.0,0.0,0.0,completed
C_occlusion,recurrent-303,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_occlusion,recurrent-303,memory_reset,motor_energy_demand,30,0,[],-0.005038257649784287,-0.005348898170975224,-0.004740505169156442,completed
C_occlusion,recurrent-303,memory_reset,escape_drive_integral,30,0,[],-0.09377678753435612,-0.10632573869936165,-0.08189657424017786,completed
C_relocation,connectome,tonic_off,food,30,0,[],-0.02458921046445349,-0.08438155154470717,0.04059640132670936,completed
C_relocation,connectome,tonic_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,connectome,tonic_off,motor_energy_demand,30,0,[],-0.002733993262986211,-0.0028149664085605386,-0.002654465240179527,completed
C_relocation,connectome,tonic_off,escape_drive_integral,30,0,[],0.0,0.0,0.0,completed
C_relocation,feedforward-101,chemical_off,food,30,0,[],-0.053693296184141745,-0.09358164869782704,-0.017746831639234618,completed
C_relocation,feedforward-101,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,feedforward-101,chemical_off,motor_energy_demand,30,0,[],0.0034350845553191975,0.0031643067404300887,0.0037457074911676482,completed
C_relocation,feedforward-101,chemical_off,escape_drive_integral,30,0,[],0.05499039581045508,0.0464229203622633,0.06559642527909017,completed
C_relocation,feedforward-202,chemical_off,food,30,0,[],-0.005212547332047798,-0.02550272770846862,0.010772318571806992,completed
C_relocation,feedforward-202,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,feedforward-202,chemical_off,motor_energy_demand,30,0,[],-0.0007973555498984469,-0.0009328006042908236,-0.0006123030699107389,completed
C_relocation,feedforward-202,chemical_off,escape_drive_integral,30,0,[],-0.025925927864542873,-0.03121859091220347,-0.019001404532173187,completed
C_relocation,feedforward-303,chemical_off,food,30,0,[],-0.02963461961348863,-0.08890385884046578,0.0,completed
C_relocation,feedforward-303,chemical_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,feedforward-303,chemical_off,motor_energy_demand,30,0,[],0.00010778275612493288,8.1956480033602e-05,0.00014745653797940583,completed
C_relocation,feedforward-303,chemical_off,escape_drive_integral,30,0,[],-0.003026734199374916,-0.0052282634384309265,0.0011154228225505579,completed
C_relocation,hybrid-101,memory_reset,food,30,0,[],0.025112085585792802,0.003206381793692705,0.05080620723714414,completed
C_relocation,hybrid-101,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,hybrid-101,memory_reset,motor_energy_demand,30,0,[],-0.02011040287955478,-0.023475942608494685,-0.01665990138187027,completed
C_relocation,hybrid-101,memory_reset,escape_drive_integral,30,0,[],-1.3427779914848508,-1.5573065953395642,-1.1123953253749759,completed
C_relocation,hybrid-202,memory_reset,food,30,0,[],0.10579471577703958,0.015599412765105625,0.20283270397034167,completed
C_relocation,hybrid-202,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,hybrid-202,memory_reset,motor_energy_demand,30,0,[],-0.0016448367710891173,-0.0069095646356813764,0.00331126410964149,completed
C_relocation,hybrid-202,memory_reset,escape_drive_integral,30,0,[],-0.06279536308053259,-0.3604024043375898,0.1853175671400968,completed
C_relocation,hybrid-303,memory_reset,food,30,0,[],0.049524417976538324,0.01000431093188623,0.09590827518490447,completed
C_relocation,hybrid-303,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
C_relocation,hybrid-303,memory_reset,motor_energy_demand,30,0,[],-0.040236835905482375,-0.0412572772764119,-0.03931397626425748,completed
C_relocation,hybrid-303,memory_reset,escape_drive_integral,30,0,[],-2.455872582425674,-2.514645009644081,-2.4027998115124807,completed
C_relocation,recurrent-101,memory_reset,food,30,0,[],0.050343198993553676,0.019457241410234305,0.08668183482005246,completed
C_relocation,recurrent-101,memory_reset,collision_substeps,30,0,[],0.0,0.0,0.0,completed
