controller,ablation,scenario,environment_seed,neural_repeat,status,completed_windows,simulation_seconds,wall_seconds,food,collision_substeps,motor_energy_demand,final_simulated_energy,escape_drive_integral,inference_mean_ms,reaction_seconds,recovery_seconds,reaction_status,recovery_status,baseline_escape_drive,preactivated,sampled_peak_process_rss_bytes,rss_sampling,reflex_interventions,physical_energy_debit,physical_energy_debit_status
connectome,none,A_translation,90006,0,completed,100,2.0,5.7437226670008386,0.0,0,0.012760257521125428,0.837239742478875,0.6600595936306191,56.805322449072264,0.06,,responded,not_applicable,0.0,False,443629568,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90007,0,completed,100,2.0,5.90331716700166,0.0,0,0.011136518258871532,0.8388634817411292,0.550805440895077,58.41549125907477,0.48,,responded,not_applicable,0.0,False,443645952,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90008,0,completed,100,2.0,5.5964453339984175,0.0,0,0.026212908020625682,0.8237870919793743,1.5557880101457222,55.400161990110064,0.12,,responded,not_applicable,0.0,False,443662336,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90009,0,completed,100,2.0,5.375707250001142,0.0,0,0.016443306985416323,0.8335566930145833,0.9043588632911942,53.14656333139283,0.26,,responded,not_applicable,0.0,False,443711488,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90010,0,completed,100,2.0,5.990935875001014,0.0,0,0.017327642219856998,0.8326723577801437,0.968051408104113,59.26373124035308,0.32,,responded,not_applicable,0.0,False,443744256,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90011,0,completed,100,2.0,6.376689917000476,0.0,0,0.019693049781356064,0.8303069502186428,1.13494215638016,62.914246310247115,0.18,,responded,not_applicable,0.0,False,443777024,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90012,0,completed,100,2.0,5.7417348330054665,0.0,0,0.020169980735780215,0.8298300192642195,1.1486561103040485,56.73738869023509,0.04,,responded,not_applicable,0.0,False,443711488,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90013,0,completed,100,2.0,5.822358125005849,0.0,0,0.011539534880039103,0.8384604651199609,0.5565131719245089,57.60128664012882,0.3,,responded,not_applicable,0.0,False,443744256,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90014,0,completed,100,2.0,5.7249981250060955,0.0,0,0.011129663146884936,0.8388703368531153,0.5590352383014495,56.639297099463874,0.4,,responded,not_applicable,0.0,False,373112832,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90015,0,completed,100,2.0,5.644408416992519,0.0,0,0.01978455836674799,0.8302154416332509,1.1161544321473402,55.84474585935823,0.02,,responded,not_applicable,0.07373307230953172,False,373440512,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
